source_id,title,locator,snapshot_or_date,evidence_class,model_use,live_product_claim,data_class
issue_695,Build Model v2,https://github.com/ghuser29384/Website2/issues/695,read-2026-08-14,owner specification,"scope; fixed decisions; estimands; validation gates",none,public repository metadata
issue_695_comment,Pre-results decision freeze and independent audit gate,https://github.com/ghuser29384/Website2/issues/695#issuecomment-5292783315,read-2026-08-14,owner specification,"anti-tuning; frozen scenarios; audit gate",none,public repository metadata
issue_681,Resource-specific 100-Sparks profiles,https://github.com/ghuser29384/Website2/issues/681,read-2026-08-14,product specification,"inheritance and resource vocabulary",none,public repository metadata
pr_690,Resource-specific 100-Sparks implementation,https://github.com/ghuser29384/Website2/pull/690,d938895478746b7c08d0b1045a0fb7c3a83dc879,draft unmerged product evidence,"resource keys and inheritance behavior",explicitly not live,public repository metadata
issue_682,Many-to-many Donation Redirect clearing,https://github.com/ghuser29384/Website2/issues/682,read-2026-08-14,product specification,"order terms; exact-cent partial clearing",none,public repository metadata
pr_640,DAC/public-goods candidate,https://github.com/ghuser29384/Website2/pull/640,82448a45f51a789424f1d3509f696c02371d5f7f,draft unmerged product evidence,"immutable terms; threshold; pledge-only boundary",explicitly not live,public repository metadata
pr_671,Pooled settlement candidate,https://github.com/ghuser29384/Website2/pull/671,48c78c4ca007bd5f6aacbc5ef1cd98d92d42c8dd,draft unmerged product evidence,"exact cents; fail-closed settlement semantics",explicitly not live,public repository metadata
main_redirect,Conditional Redirect v1,src/lib/payments/conditional-redirect.ts@79ca382c3bdc325dfc5a28e2cbbafc1b95640386,79ca382c3bdc325dfc5a28e2cbbafc1b95640386,current-main product evidence,"cent accounting; authorization; deterministic ranking",one-creator-one-winner v1 only,public repository source
main_coact,Co-Act/Co-Fund create spec,docs/co-act-co-fund-create-spec.md@79ca382c3bdc325dfc5a28e2cbbafc1b95640386,79ca382c3bdc325dfc5a28e2cbbafc1b95640386,current-main proposal,"same/complementary forms; group sizes; attrition",proposal only,public repository source
main_identification,Causal identification preregistration,docs/commitments/impact-identification/causal-identification-and-calibration-preregistration-v2.md@79ca382c3bdc325dfc5a28e2cbbafc1b95640386,79ca382c3bdc325dfc5a28e2cbbafc1b95640386,current-main research specification,"ITT boundary; prospective baseline; displacement; interference",no transaction evidence,public repository source
ord_2015,Toby Ord - Moral Trade,https://doi.org/10.1086/682187,2015,conceptual literature,"no-trade counterfactual; externality/perverse-baseline constraint",not calibration,public abstract
macaskill_moorhouse_2025,Convergence and Compromise,https://www.forethought.org/research/convergence-and-compromise,2025,conceptual literature,"bargaining blockers; threats; power; resource compatibility",not calibration,public article
davidson_macaskill_taylor_2026,Moral public goods are a big deal for whether we get a good future,https://www.forethought.org/research/moral-public-goods-are-a-big-deal-for-whether-we-get-a-good-future,2026,conceptual literature,"free-riding; preference structure; voluntary assurance limitations",not calibration,public article
model_v1_issue_statement,Model v1 approximate conditional five-year median,https://github.com/ghuser29384/Website2/issues/695,read-2026-08-14,owner-provided historical comparison,"approximately $0.58M baseline only",not re-estimated,public repository metadata

