archetype_id,segment,approved_dominant_behavior,active_share,monthly_retention,activation_rate,support_only_probability,zero_cash_probability,annual_cash_mean_usd,annual_ordinary_hours,annual_skilled_hours,redirect_propensity,direct_propensity,dac_propensity,wtp_index,wta_index,action_cost_index,trust,evidence_tolerance,reliability,repeat_use,dependence_cluster,provenance,dominant_crux,update_observable
EA1,EA,high-budget donor and redirector,0.07,0.977,0.58,0.04,0.08,250,5,1.5,0.72,0.12,0.16,1.35,1.15,1.10,0.72,0.68,0.90,0.66,engaged_donor,AI-proposed around owner segment mean,"budget and credible planned-donation incidence","prospective annual budget and authorization records"
EA2,EA,moral-public-good funder or organizer,0.08,0.974,0.54,0.08,0.12,180,11,4,0.22,0.18,0.82,1.20,1.05,1.00,0.76,0.78,0.88,0.72,organizer,AI-proposed around owner segment mean,"pool demand and organizer repeat","preregistered pool funnel and repeat cohorts"
EA3,EA,low-cash behavioral-action supplier,0.09,0.955,0.48,0.12,0.48,20,30,1,0.08,0.86,0.12,0.55,0.48,0.55,0.60,0.52,0.74,0.45,behavior_supplier,AI-proposed around owner segment mean,"action availability and retention","prospective time budget and verified completions"
EA4,EA,skilled-work or research supplier,0.07,0.968,0.50,0.10,0.35,60,8,28,0.05,0.86,0.16,0.95,1.45,1.55,0.68,0.82,0.86,0.59,skilled_supplier,AI-proposed around owner segment mean,"skilled WTA and verification burden","prospective WTA and completed skilled hours"
EA5,EA,"reviewer, challenger, or low-cash participant",0.09,0.946,0.44,0.45,0.50,23.333333333333,18,5,0.10,0.38,0.24,0.65,0.62,0.70,0.55,0.88,0.78,0.40,reviewer,AI-proposed around owner segment mean,"support-only versus transaction conversion","review funnel and later transaction activation"
NE1,non_EA,opposed-cause or political donor,0.12,0.952,0.43,0.06,0.22,80,5,1,0.75,0.08,0.07,1.10,1.00,1.00,0.42,0.40,0.80,0.38,opposed_donor,AI-proposed around owner segment mean,"structured compatibility across opposed plans","precommitted destinations and clearing outcomes"
NE2,non_EA,ordinary charitable donor,0.13,0.958,0.46,0.10,0.25,60,6,1,0.68,0.10,0.12,0.95,0.90,0.90,0.55,0.52,0.84,0.44,ordinary_donor,AI-proposed around owner segment mean,"credible fallback and displacement","prospective donation baselines and 12-month follow-up"
NE3,non_EA,cause-specific payer for actions,0.12,0.963,0.49,0.05,0.20,55,8,2,0.12,0.82,0.08,1.25,0.78,0.85,0.60,0.60,0.86,0.52,action_payer,AI-proposed around owner segment mean,"payer WTP and cause-compatible supply","posted WTP and matched/unmatched demand"
NE4,non_EA,low-cost behavioral-action supplier,0.13,0.941,0.41,0.12,0.55,20,24,0.5,0.06,0.88,0.06,0.50,0.42,0.45,0.45,0.42,0.70,0.32,behavior_supplier,AI-proposed around owner segment mean,"supplier reliability and attrition","verified authorizations and completion follow-up"
NE5,non_EA,occasional public-good contributor or reviewer,0.10,0.936,0.39,0.407,0.42,34,12,2,0.12,0.20,0.58,0.72,0.72,0.80,0.48,0.68,0.73,0.28,occasional_reviewer,AI-proposed around owner segment mean,"pool participation and support intensity","pool exposure and review/pledge cohorts"
