parameter_id,target_quantity,mechanism,unit,distribution,parameterization,central,low,high,dependence_structure,provenance,evidence_or_derivation,dominant_crux,update_observable
simulation_seed,base pseudo-random seed,all,integer,fixed,exact,69520260814,69520260814,69520260814,scenario seeds are deterministic offsets,AI-proposed,reproducibility convention,none,not empirically updated
full_draws,draws per scenario and forecast basis,all,draws,fixed,minimum owner gate,200000,200000,200000,none,owner-selected,issue #695 minimum,Monte Carlo noise only,replication convergence
fast_draws,draws in fast gate,all,draws,fixed,lower-draw test,2000,2000,2000,none,AI-proposed,fast local/CI compromise,Monte Carlo noise,wall-clock and convergence
horizon_months,cohort horizon,cohort,months,fixed,exact,60,60,60,none,owner-selected,issue #695,none,not empirically updated
eoy1_active,EOY meaningful-active stock,cohort,users,fixed,exact,50000,50000,50000,owner trajectory,owner-selected,issue #695,stipulated trajectory,owner revision only
eoy2_active,EOY meaningful-active stock,cohort,users,fixed,exact,100000,100000,100000,owner trajectory,owner-selected,issue #695,stipulated trajectory,owner revision only
eoy3_active,EOY meaningful-active stock,cohort,users,fixed,exact,150000,150000,150000,owner trajectory,owner-selected,issue #695,stipulated trajectory,owner revision only
eoy4_active,EOY meaningful-active stock,cohort,users,fixed,exact,200000,200000,200000,owner trajectory,owner-selected,issue #695,stipulated trajectory,owner revision only
eoy5_active,EOY meaningful-active stock,cohort,users,fixed,exact,250000,250000,250000,owner trajectory,owner-selected,issue #695,stipulated trajectory,owner revision only
support_only_share,share of meaningful actives that are support-only,cohort,proportion,fixed,exact,0.15,0.15,0.15,archetype probabilities reconcile exactly,owner-selected,issue #695,definition and future composition,support-to-transaction funnel
ea_active_share,EA-identifying/sympathetic active share,cohort,proportion,fixed,exact,0.40,0.40,0.40,archetype shares reconcile exactly,owner-selected,issue #695,stipulated composition,owner revision only
ea_cash_budget_mean,annual relevant budget including zero spend,portfolio,USD/user-year,fixed,segment-weighted exact,100,100,100,archetype cash means reconcile exactly,owner-selected,issue #695,stipulated budget,prospective annual budget baseline
non_ea_cash_budget_mean,annual relevant budget including zero spend,portfolio,USD/user-year,fixed,segment-weighted exact,50,50,50,archetype cash means reconcile exactly,owner-selected,issue #695,stipulated budget,prospective annual budget baseline
cash_use_share,share of relevant cash capacity authorized through modeled mechanisms,portfolio,proportion,logistic_normal,"median; low/high approximate p10/p90",0.30,0.12,0.52,loads on adoption/trust and archetype engagement,AI-proposed,first-principles funnel prior,authorization rate,prospective preauthorization and spend
ordinary_time_use_share,share of ordinary-action capacity offered,portfolio,proportion,logistic_normal,"median; low/high approximate p10/p90",0.22,0.08,0.42,loads on trust and action-supply factor,AI-proposed,first-principles funnel prior,time availability,prospective offered and completed hours
skilled_time_use_share,share of skilled-work capacity offered,portfolio,proportion,logistic_normal,"median; low/high approximate p10/p90",0.16,0.05,0.34,loads on trust and skilled-supply factor,AI-proposed,first-principles funnel prior,skilled supplier participation,prospective offered and completed hours
redirect_allocation,share of used cash capacity reserved for redirects,portfolio,proportion,fixed,central allocation before scenario renormalization,0.40,0.40,0.40,sums with direct and DAC allocations to one,AI-proposed,pre-results budget partition,mechanism selection,prospective authorization choices
direct_allocation,share of used cash capacity reserved for direct trade,portfolio,proportion,fixed,central allocation before scenario renormalization,0.34,0.34,0.34,sums with redirect and DAC allocations to one,AI-proposed,pre-results budget partition,mechanism selection,prospective authorization choices
dac_allocation,share of used cash capacity reserved for DAC pledges,portfolio,proportion,fixed,central allocation before scenario renormalization,0.26,0.26,0.26,sums with redirect and direct allocations to one,AI-proposed,pre-results budget partition,mechanism selection,prospective authorization choices
platform_trust,transaction trust/evidence-independent readiness,all,score_0_1,logistic_normal,"median; low/high approximate p10/p90",0.58,0.30,0.80,platform factor shared with adoption repeat and reliability,AI-proposed,product has no mature transaction calibration,trust is a dominant global crux,preregistered offer-to-authorization funnel
evidence_acceptance,fit between evidence burden and user tolerance,all,score_0_1,truncated_normal,"mean; low/high bounds",0.62,0.30,0.88,shared evidence factor and archetype tolerance,AI-proposed,current specs require evidence but no mature calibration,evidence friction,randomized evidence-burden variants
reliability,valid authorization and completion propensity,all,proportion,beta_approx,"mean; low/high approximate p10/p90",0.78,0.55,0.93,shared archetype reliability factor,AI-proposed,prospective completion logic only,completion and fraud/ineligibility,verified completion cohorts
repeat_use,repeat activity multiplier among retained actives,all,multiplier,lognormal,"median; low/high approximate p10/p90",1.12,0.75,1.70,shared network/retention factor,AI-proposed,no mature repeat cohorts,repeat loop,cohort repeat transactions
market_liquidity,compatible market thickness at stipulated trajectory,all,score_0_1,logistic_normal,"median; low/high approximate p10/p90",0.52,0.22,0.78,shared matching factor; nonlinear in adoption,AI-proposed,first-principles two-sided market prior,compatible density,order-book fill curves
cash_additionality,gross caused cash probability before displacement,all,proportion,logistic_normal,"median; low/high approximate p10/p90",0.43,0.12,0.72,shared causal factor with time additionality and displacement,AI-proposed,not identifiable from completion,causal counterfactual,prospective baseline plus randomized exposure
time_additionality,gross caused labor probability,all,proportion,logistic_normal,"median; low/high approximate p10/p90",0.46,0.15,0.76,shared causal factor with cash additionality,AI-proposed,not identifiable from completion,causal counterfactual,prospective baseline plus randomized exposure
displacement_fraction_12m,reduction in other giving over 12 months as share of gross caused giving,all,proportion,beta_approx,"mean; low/high approximate p10/p90",0.29,0.08,0.58,negatively linked to cash additionality,AI-proposed 12-month modeling decision,annual budget displacement,12-month randomized follow-up
displacement_fraction_90d,reduction/brought-forward giving over 90 days,all,proportion,beta_approx,"mean; low/high approximate p10/p90",0.13,0.03,0.32,linked to 12-month displacement,AI-proposed 90-day sensitivity,early timing versus permanent change,90-day randomized follow-up
timing_shift_fraction,caused giving merely brought forward,all,proportion,truncated_normal,"mean; low/high bounds",0.07,0.00,0.18,shared displacement factor,AI-proposed,annual budget timing prior,timing classification,timestamped planned-versus-actual baseline
redirect_compatibility,structured terms compatible before amount constraints,redirect,proportion,logistic_normal,"median; low/high approximate p10/p90",0.31,0.10,0.58,market factor plus archetype/profile fit,AI-proposed,many-to-many specification not transaction data,structured compatibility,order-book compatible edges
redirect_lower_impact_share,redirect principal from credible lower-impact/private fallback,redirect,proportion,beta_approx,"mean; low/high approximate p10/p90",0.58,0.30,0.82,archetype/source-side mixture,AI-proposed,two required redirect families,credible fallback composition,prospectively authorized fallback type
